user,poems
2506,"[1371, 2166, 1881, 14259, 626, 3221, 431, 1000, 583, 1218, 2648, 15216, 15217, 5189, 2077, 15154, 8265, 116, 5124, 2008, 9738, 20726, 9737, 13663, 16727, 18639, 9736, 9787, 632, 10688, 158, 24764, 958, 9784, 12797, 2618, 12634, 11829, 4596]"
2507,"[16055, 15930, 15977, 15926, 15988, 15925, 15929]"
2508,"[15009, 7160]"
2510,[83]
2513,"[4370, 1717, 5331, 142, 329, 4419, 12, 13, 1412, 133, 30]"
2517,"[75, 17969]"
2522,[16125]
2532,[1591]
2533,[10350]
2537,[2439]
2547,"[3528, 3529, 3373]"
2550,[51]
2551,"[1009, 183]"
2552,"[10816, 193, 2014, 37515]"
2557,"[19308, 5502, 1412]"
2567,"[15140, 565, 15127, 25176, 25268, 15208]"
2575,"[1900, 290, 9133, 2599, 2343, 2439]"
2578,[63]
2586,[5675]
2589,[5350]
2592,[195]
2599,"[23964, 27101]"
2603,[1000]
2608,[753]
2609,[83]
2610,[2168]
2614,[904]
2611,"[8120, 1009, 183]"
2615,[1365]
2621,[26474]
2623,[11444]
2636,"[20079, 16325, 12295]"
2642,"[4391, 2096]"
2643,[16325]
2657,"[1230, 6481, 11693, 14992, 3764]"
2663,"[13, 43, 13998, 15299, 63, 142, 4438, 16577, 6108, 80, 2507, 17798, 6178, 6187, 22599, 14254, 10508, 1230, 5715, 5560, 12652, 28888, 4456, 5197, 2462, 11676, 13605, 5534, 90, 4158, 11334, 1242, 2950, 2369, 4393, 65225, 2377, 4768, 138]"
2674,"[2512, 912, 925, 81, 7803, 15072, 910, 908, 6327, 10360]"
2676,[865]
2677,"[3776, 8916]"
2684,"[4401, 24115, 7511]"
2688,"[83, 187, 63, 11, 87, 7882, 1402, 12686, 19139, 9736]"
2697,[1787]
2703,"[184, 916, 70, 7804, 2264, 8115, 183]"
2704,"[1539, 4906, 6, 11599, 1754, 12734, 2052, 15598, 7780, 4868, 1756, 2045, 196, 2581, 11786, 11373, 2546, 7230, 1465, 2393, 4957, 305]"
2707,"[15357, 182, 2512, 8949, 16430]"
2712,[11829]
2717,[2596]
2727,[129]
2731,"[2014, 3443, 2459]"
2742,"[183, 1967]"
2744,"[28261, 19076, 18828, 18827, 23702, 24799, 19880, 20667, 18907, 18998, 20020, 21911, 18884]"
2746,[83]
2747,"[8118, 182]"
2748,[355]
2749,[46]
2750,[31175]
2760,[4895]
2764,[10835]
2795,"[5542, 7847, 10164, 2693, 130, 11703, 3436, 21757, 614]"
2802,"[17189, 17178, 17158, 17208, 17270, 17109, 17131, 16684, 17279, 17289, 17283, 17345, 17753, 17676, 18023, 27464, 27563, 28628, 28614, 28615, 28646, 28647, 28689, 28600, 29042, 29321, 29322, 29459, 29323, 29821, 29811, 29790, 32060, 30711, 32113, 30632, 30710, 30569, 34916, 34917, 34918, 34920, 34940, 34941, 34943, 34944, 34945, 34946, 34947, 34996, 35043, 35045, 35046, 35049, 35051, 35743, 36031, 36322, 36321, 36320, 36708, 37137, 37136, 37858, 38115, 39869, 39896, 40821, 40850, 41237, 41562, 42568, 42747, 42754, 42753, 42755, 42833, 42835, 43030, 43045, 43066, 43083, 43374, 43387, 43430, 43504, 43596, 44479, 44846, 45077, 45109, 45203, 45226, 45337, 45390, 45405, 45421, 45437, 45504, 45527, 45529, 45589, 45590, 45832, 45841, 45843, 45861, 46029, 46034, 46035, 46048, 46053, 46070, 22885, 46118, 46161, 46167, 17160, 18451, 20142, 43302, 40583, 43297, 38179, 42840, 42986, 43040, 43041, 43117, 43208, 43383, 43384, 43401, 43427, 43479, 43494, 43496, 43512, 43511, 43510, 43525, 43529, 43528, 43533, 43505, 43506, 43508, 15158, 44089, 44097, 44093, 44084, 44164, 44166, 44181, 44183, 44184, 44185, 20639, 44331, 44334, 44363, 44377, 44379, 44381, 44405, 44412, 44414, 44419, 44420, 4442]"
2810,[6959]
2812,"[2007, 4285]"
2813,[9587]
2814,"[5624, 4819, 24511, 32751]"
2821,[953]
2831,[2376]
2841,[5216]
2849,[39]
2850,"[1759, 4401, 338]"
2855,"[19587, 4913, 21971]"
2860,"[15085, 8, 16594, 8292, 10825, 8379]"
2864,[940]
2868,"[8374, 11326]"
2885,[4229]
2895,"[158, 179, 10765]"
2906,"[1465, 911, 953, 6647, 1088, 8113, 925, 28670, 38643, 2758]"
2908,"[12459, 539, 10987, 1759, 142, 2014]"
2910,"[2677, 2648]"
2916,[1747]
2922,"[7233, 7099, 14681]"
2937,[10814]
2946,[5675]
2948,[124]
2950,"[7511, 4401, 2515, 15651, 12, 2163, 2380]"
2951,[11318]
2954,"[83, 92, 11703]"
2959,[430]
2962,"[52, 115]"
2963,"[20378, 6914]"
2969,[156]
2970,[32654]
2979,"[15072, 9685, 9684]"
2987,"[24424, 24643, 36867, 36989, 36839, 36819, 36820, 36821, 36817, 36838, 36809, 36990, 36905, 36842, 36868, 23502, 24677, 25047, 43067, 71436, 26675, 25063]"
2993,[9738]
3019,"[1242, 2618]"
3020,[9604]
3026,"[9660, 2098]"
3027,"[549, 124, 2168, 2439]"
3034,[3539]
3038,[1009]
3048,[75]
3051,"[195, 53, 930, 2331, 63, 6974, 8530]"
3060,"[8115, 4016, 2941]"
3072,"[6921, 4453, 31090, 4026, 7168, 39537]"
3079,"[12, 100, 338, 3269, 70, 925, 6243]"
3082,[2929]
3089,[17137]
